gene	log2FC	score	pvalue	pvalue_adj
RILPL2	2.3089952	23.590755	4.795403193254443e-123	2.440505635693771e-121
SEC11A	2.0405295	23.567846	8.238285470883218e-123	4.185309632808808e-121
BTF3	1.8541942	23.56646	8.512583476995415e-123	4.31707457139485e-121
AC007952.4	2.4872324	23.51824	2.654316161098934e-122	1.3390631286018653e-120
CD84	2.1279056	23.513117	2.994892827048008e-122	1.5082468110013376e-120
ZYX	2.1814647	23.498444	4.2308862977463103e-122	2.1269953079817842e-120
RPL23A	1.4177908	23.49508	4.579515889671011e-122	2.2982650316444433e-120
CD86	2.1142068	23.452833	1.236782796893441e-121	6.196131769462513e-120
ATP1B3	2.281503	23.40748	3.586115338157792e-121	1.7934919737046245e-119
ARID5A	2.2082016	23.355757	1.2044844033625327e-120	6.00310873241392e-119
RPL27	1.7930249	23.326305	2.3982418763259698e-120	1.1911680054803233e-118
AC004687.1	2.3991938	23.216797	3.081139397671006e-119	1.527727213867509e-117
SMAP2	2.3461137	23.138094	1.9159880723573577e-118	9.483812878019545e-117
MKNK1	2.1463203	23.129227	2.3531295102090495e-118	1.162767773531846e-116
HAVCR2	2.0734742	23.08425	6.66553595204505e-118	3.282464186810328e-116
LYN	2.0619373	23.015882	3.2321845357582706e-117	1.5809265376508347e-115
GBP2	2.824769	23.002668	4.3833118992317314e-117	2.136735195128021e-115
RPSA	1.6725765	22.952518	1.3905760448246837e-116	6.767235981102211e-115
TNF	2.118727	22.830393	2.288859236621444e-115	1.1120009067733796e-113
CLEC7A	2.0738885	22.827347	2.454085095044812e-115	1.1902724470211475e-113
SCPEP1	2.1288002	22.824467	2.621156641572413e-115	1.269175461271922e-113
RPL31	1.8327712	22.808376	3.7865579184804487e-115	1.8304018352761595e-113
IRF8	2.0519438	22.803812	4.202801320745452e-115	2.0282199963069915e-113
MGAT1	2.0024	22.790348	5.715935776829064e-115	2.749260490861859e-113
ADAM28	2.1644824	22.756567	1.2354588709280653e-114	5.932460063441459e-113
RPL21	0.9795458	22.749218	1.460847272455074e-114	7.003103168301628e-113
BASP1	2.3024614	22.741253	1.7515332599798444e-114	8.382710587125391e-113
RPS5	1.5970336	22.728943	2.3185392654883485e-114	1.1078018933466396e-112
WAS	2.0952125	22.728252	2.3552463526803414e-114	1.1234836025896143e-112
PTMS	2.9342692	22.69339	5.206595372897995e-114	2.479523104519973e-112
CTSH	2.0390544	22.671442	8.573742853253832e-114	4.076335273996851e-112
CAPZB	1.9150704	22.604748	3.8919797453279374e-113	1.8473802709063166e-111
HCK	2.1877627	22.54294	1.5750370962479857e-112	7.45165259267439e-111
PTPN6	2.0630505	22.514252	3.009735053998507e-112	1.4216080262407653e-110
ARHGAP25	2.318152	22.359585	9.741315081062302e-111	4.578734878833625e-109
HSPD1	1.872481	22.34971	1.2152892466448794e-110	5.693738452635904e-109
NLRP3	2.1061647	22.287199	4.918215343588154e-110	2.2967827291939057e-108
GPR34	2.3566804	22.251127	1.0999534131724283e-109	5.111953909095721e-108
IER2	1.3955055	22.243473	1.3045821097456206e-109	6.053219108574102e-108
CREM	2.2982988	22.23155	1.7015934697668153e-109	7.882686286947008e-108
MYL12B	1.9633577	22.115314	2.251347858802153e-108	1.0379539482359463e-106
SLC25A5	1.886266	22.10228	3.0050829389035875e-108	1.3810482116834023e-106
UCP2	2.016168	22.081406	4.7702103508692716e-108	2.1853006436224725e-106
TPM3	1.9659585	22.016088	2.019643856815965e-107	9.208492897315315e-106
SLC2A3	1.9858612	21.997665	3.0318937886161823e-107	1.3780338639548425e-105
RPS11	1.7896798	21.938745	1.1091973613924034e-106	5.025637637268057e-105
IFNGR2	2.00466	21.906012	2.2766528533295014e-106	1.0266958507206848e-104
AKR1A1	1.9422733	21.897558	2.740780993094428e-106	1.2340771988688571e-104
NAMPT	2.0203934	21.884342	3.6626188053458776e-106	1.646583542863659e-104
SP100	1.9923197	21.854933	6.977423955742703e-106	3.1270758804442524e-104
EFHD2	2.0190008	21.843796	8.904268224585873e-106	3.984453275048047e-104
COMMD6	1.872124	21.82071	1.475533572853458e-105	6.592465068079584e-104
CSRNP1	1.9208729	21.815151	1.666168354113567e-105	7.432705032771741e-104
HSD17B11	2.0422602	21.67138	3.82140864160747e-104	1.6864955664572082e-102
ATP6V0E1	1.8774643	21.610441	1.4327359448977955e-103	6.303820085108154e-102
CYTL1	2.1040518	21.573196	3.207445866704376e-103	1.4090826393438206e-101
ETV6	2.0729368	21.506199	1.3622274503284598e-102	5.957323586481814e-101
SIGLEC10	1.9560957	21.486202	2.0957174601968886e-102	9.151194051648256e-101
PLA2G7	2.8659663	21.478617	2.467492304539289e-102	1.07583408819483e-100
CCNH	1.8250117	21.437622	5.9582039235968846e-102	2.58998196720925e-100
PILRA	2.0171795	21.317158	7.869659164997494e-101	3.395346828098247e-99
AC245014.3	2.017618	21.316813	7.927782385249849e-101	3.415326459171645e-99
SH3BGRL3	1.760284	21.30681	9.815995609409697e-101	4.222484897041758e-99
BLNK	1.9958949	21.242384	3.877039303369323e-100	1.660349261370326e-98
PMAIP1	2.4173615	21.07799	1.2665010058907507e-98	5.376027103859609e-97
RAB31	1.8513647	21.016035	4.679335362331357e-98	1.9804618933954984e-96
ATP5MC2	1.6145936	20.959848	1.525736404248429e-97	6.43860762592837e-96
EIF3F	1.787095	20.900982	5.245513578076937e-97	2.207162459992286e-95
CD81	1.2625785	20.868294	1.039806854662305e-96	4.368851271471402e-95
CKLF	1.8236974	20.86489	1.11655229582206e-96	4.684495967391624e-95
CMTM6	1.8743455	20.846157	1.6516711068808333e-96	6.919544447333949e-95
IFITM2	1.9980549	20.836237	2.031990191567591e-96	8.500541312249545e-95
UNC93B1	1.9186144	20.817738	2.9896873037494887e-96	1.248885706495469e-94
EBI3	2.0266414	20.811348	3.4160775897188684e-96	1.4228898398559559e-94
NCKAP1L	1.936841	20.807837	3.675585438647977e-96	1.5287791118704615e-94
TUBB	1.7917395	20.715424	2.5148858937215148e-95	1.043010136726081e-93
SFMBT2	1.8248088	20.674728	5.849471936198642e-95	2.422502654150346e-93
EIF3E	1.7839528	20.669058	6.578792982993658e-95	2.720646191121569e-93
TAGLN2	2.0693989	20.666855	6.8860172801771e-95	2.8395734881323743e-93
LCP1	1.8865955	20.665195	7.126922631654746e-95	2.9347286682798253e-93
BRK1	1.7763708	20.609661	2.247969318802326e-94	9.230404701508358e-93
UQCRB	1.7147775	20.598166	2.8503971724080445e-94	1.1687437030184304e-92
CHST11	1.872077	20.588764	3.4608503878119907e-94	1.4170368577971844e-92
LAIR1	1.8945974	20.563194	5.864138954104847e-94	2.397661453271695e-92
AP1B1	1.8277675	20.466991	4.239982750581577e-93	1.7311466295347688e-91
STX11	2.545008	20.329046	7.11734410464234e-92	2.88962171394517e-90
