edge	mean_te	std_te	ci_lower	ci_upper	significant
CXCL8->HSPA1B	0.000000	0.000000	0.000000	0.000000	False
CXCL8->IFITM2	0.000997	0.000982	0.000000	0.003326	False
CXCL8->S100A11	0.004034	0.002576	0.000482	0.009764	True
CXCL8->CST3	0.000000	0.000000	0.000000	0.000000	False
CXCL8->FCER1G	0.001071	0.001661	0.000000	0.005335	False
CXCL8->S100A8	0.000299	0.000527	0.000000	0.002012	False
CXCL8->CD69	0.000000	0.000000	0.000000	0.000000	False
CXCL8->SMAP2	0.000000	0.000000	0.000000	0.000000	False
CXCL8->SH3BGRL3	0.000000	0.000000	0.000000	0.000000	False
CXCL8->SLC25A37	0.000862	0.000908	0.000004	0.003366	True
CXCL8->ATP5F1E	0.001150	0.001467	0.000000	0.004513	False
CXCL8->SOD2	0.000000	0.000000	0.000000	0.000000	False
CXCL8->MYL6	0.001068	0.001648	0.000000	0.005139	False
CXCL8->TXNIP	0.000028	0.000106	0.000000	0.000400	False
CXCL8->H3F3A	0.000000	0.000000	0.000000	0.000000	False
CXCL8->S100A9	0.000000	0.000000	0.000000	0.000000	False
CXCL8->ARHGDIB	0.000000	0.000000	0.000000	0.000000	False
S100A11->HSPA1A	0.000012	0.000081	0.000000	0.000000	False
S100A11->CCL3L1	0.000912	0.000836	0.000029	0.003040	True
S100A11->HSPA1B	0.000000	0.000000	0.000000	0.000000	False
S100A11->IFITM2	0.001171	0.001002	0.000000	0.003335	False
S100A11->CXCL8	0.000418	0.000654	0.000000	0.002505	False
S100A11->CST3	0.000000	0.000000	0.000000	0.000000	False
S100A11->FCER1G	0.001111	0.001639	0.000000	0.004940	False
S100A11->S100A8	0.000560	0.000622	0.000000	0.001876	False
S100A11->CD69	0.000000	0.000000	0.000000	0.000000	False
S100A11->SMAP2	0.000000	0.000000	0.000000	0.000000	False
S100A11->SH3BGRL3	0.000000	0.000000	0.000000	0.000000	False
S100A11->SLC25A37	0.001516	0.001344	0.000052	0.004909	True
S100A11->ATP5F1E	0.002314	0.002579	0.000000	0.007908	False
S100A11->SOD2	0.000000	0.000000	0.000000	0.000000	False
S100A11->MYL6	0.001038	0.001552	0.000000	0.004383	False
S100A11->TXNIP	0.001090	0.000966	0.000000	0.003020	False
S100A11->H3F3A	0.000015	0.000082	0.000000	0.000160	False
S100A11->S100A9	0.000000	0.000000	0.000000	0.000000	False
S100A11->ARHGDIB	0.000060	0.000215	0.000000	0.000744	False
CST3->HSPA1A	0.000000	0.000000	0.000000	0.000000	False
CST3->CCL3L1	0.000855	0.000706	0.000000	0.002562	False
CST3->HSPA1B	0.000000	0.000000	0.000000	0.000000	False
CST3->IFITM2	0.000012	0.000076	0.000000	0.000070	False
CST3->CXCL8	0.000000	0.000000	0.000000	0.000000	False
