gene	importance
GRK6	0.00043596550809537227
CNOT3	0.00043550308699943045
SRPK1	0.0004352854532069662
SLC1A2	0.00043450447760780064
HRH2	0.00043384828907094966
C15orf39	0.0004332337466908195
PPM1M	0.000429675892301367
ICOS	0.0004286432229838539
TBX3	0.0004285149243360292
GNL2	0.0004281942591800143
FOXO4	0.00042762875804848693
IGLV3-10	0.00042699511471421035
ATP2A3	0.00042460464703340074
AC004817.3	0.00042434718440453656
HILPDA	0.0004237950577099001
TMLHE	0.0004229722489897532
IPO8	0.0004229329616927474
GPKOW	0.0004225350185687354
BTN3A2	0.0004222547570073042
ECE1	0.0004221625416298869
ISY1	0.00042175620883051155
ICAM3	0.0004212369511723584
EPG5	0.0004209835034536745
RNF19B	0.00042008467507504105
ZNF316	0.0004196392142426531
RAE1	0.0004195165520511765
FAR2	0.00041857217891295246
TRBV16	0.0004175226015178632
SCRN3	0.00041744653254993067
TMEM140	0.00041735913366617704
AC025423.4	0.0004169929122668976
MT1E	0.0004166815481902867
E2F3	0.0004151062350290191
TMED8	0.0004145032476163829
GADD45A	0.00041421165381973554
EIF4EBP3	0.00041392883819970744
AC018690.1	0.000413602239442785
IGF1R	0.00041268389273016855
AL021707.1	0.00041218974555778677
DEDD2	0.0004121879479881552
SNX11	0.00041145102342111066
FAM222B	0.0004110555599866249
RNF135	0.00041082996930499763
CYFIP2	0.00040962108435353787
ARC	0.00040942345100483896
MYD88	0.00040908791739499486
STK38	0.0004087473671591652
FAM210B	0.00040835154344680627
LPCAT3	0.0004082708839974262
PRF1	0.00040812561656514715
TRAV8-4	0.0004080294491250117
AC092125.1	0.00040784764220667724
EXOC6	0.0004077558276439739
AC020978.6	0.0004075850481242026
MRPS6	0.0004068342699093593
STK16	0.00040596938408873125
NLRC5	0.000405917565499365
ZNF107	0.00040547115197968434
CYP4F3	0.00040512397336201107
VKORC1L1	0.00040352258252399076
KBTBD7	0.0004032027072409557
ZNF467	0.0004024881347831609
CCDC28A	0.0004024399683352522
ODF3B	0.000402427438377888
TMEM185B	0.0004024027071349407
CRIP1	0.0004020214221706217
ISM1	0.00040171975794227625
STX3	0.00040171082308214584
CYTOR	0.0004011485653120362
AC005332.3	0.00039952662978158944
JAK3	0.00039930418081080417
PRSS57	0.0003988494766989683
HLX	0.00039880523293450335
HERC5	0.00039861303422455876
ZC3H12A	0.0003985500145024724
HIST1H4K	0.00039839780563987327
AC008507.4	0.00039832390863846055
FRAT2	0.0003980198381458824
STK11	0.00039735090619680383
ITGAL	0.00039727710835636156
TMEM11	0.00039709251495779633
LIVAR	0.00039704209244482926
ATG9A	0.0003967714367473045
IL7R	0.0003966419902236258
TMEM154	0.00039579226278777283
AC017028.2	0.0003953859150676078
FBXW2	0.00039293210830387707
SURF2	0.0003928917222527155
GEM	0.00039218131170856366
NTAN1	0.0003918634908474089
RRAGD	0.0003916715837076619
AL121757.2	0.0003912082972633138
CLEC4E	0.0003907042090625769
XCL1	0.0003902635374364773
MCTP1	0.00038984441748353963
APOBEC3A	0.0003882572501074209
TRIQK	0.00038760421922762796
PEX11B	0.0003864222123549874
GZMB	0.0003863198644460454
ZNF44	0.0003862131788019865
CAMKK2	0.0003859947144686749
CFAP58	0.0003854735522116323
CDH2	0.0003853370365861806
SYNE2	0.0003844917731146677
ZBTB34	0.000382667501234847
AL121985.1	0.0003822377132146074
KLRB1	0.00038178209720951913
AC103724.3	0.0003802051311289816
COMP	0.00038008404215420145
SRF	0.00037832631632010646
C5AR2	0.00037805695520492697
OSER1-DT	0.00037803670057766744
LIMK2	0.0003775956370353974
NMI	0.000377339472879909
AL121672.1	0.0003761929122543606
EXTL3	0.00037587827049836525
FBXO22	0.00037583761057934003
RNF24	0.00037582117092951943
ACVR1B	0.0003757935716169319
LYPLA2	0.0003756731581157628
IL10	0.0003756643910235694
AC118758.3	0.0003751643006836394
IFIT3	0.0003737502403519625
RASGRP4	0.00037368401997422767
CANT1	0.00037328120205391596
CASP10	0.0003729530988133686
LILRB2	0.0003723031412280394
TMEM91	0.0003716782300155605
SYTL1	0.0003715038220554817
LAMA2	0.0003714002590010822
MED25	0.00037048792819624043
PITPNC1	0.00037018653510885636
PPM1F	0.0003701021888911438
AP5B1	0.0003682593161970199
ZNF254	0.0003675463218879969
TMCO3	0.0003672215983734029
ORAI2	0.00036687309573627046
CHD3	0.0003659310363591201
