gene	log2FC	score	pvalue	pvalue_adj	comparison
RPS18	2.2176077	44.19217	0.0	0.0	Periphery_vs_Healthy
DUSP1	2.4777942	44.076393	0.0	0.0	Periphery_vs_Healthy
RPL11	2.1187592	43.75189	0.0	0.0	Periphery_vs_Healthy
HLA-DPA1	3.6821368	43.661655	0.0	0.0	Periphery_vs_Healthy
RPS3A	2.2138464	43.652336	0.0	0.0	Periphery_vs_Healthy
KLF6	3.636298	43.38934	0.0	0.0	Periphery_vs_Healthy
RPL7A	2.2815988	43.200928	0.0	0.0	Periphery_vs_Healthy
GPR183	3.691546	42.222363	0.0	0.0	Periphery_vs_Healthy
RPL14	2.7430046	42.064655	0.0	0.0	Periphery_vs_Healthy
CD69	3.7839675	41.96225	0.0	0.0	Periphery_vs_Healthy
RPS24	2.340777	41.898975	0.0	0.0	Periphery_vs_Healthy
RPL32	1.7000892	41.847187	0.0	0.0	Periphery_vs_Healthy
VSIG4	3.6228468	41.55645	0.0	0.0	Periphery_vs_Healthy
REL	3.485582	41.49482	0.0	0.0	Periphery_vs_Healthy
RPL29	2.1512341	41.385647	0.0	0.0	Periphery_vs_Healthy
CD37	3.5201826	40.948143	0.0	0.0	Periphery_vs_Healthy
GADD45B	3.2725415	40.767677	0.0	0.0	Periphery_vs_Healthy
RACK1	2.6005278	40.461536	0.0	0.0	Periphery_vs_Healthy
HLA-E	3.7039983	40.44272	0.0	0.0	Periphery_vs_Healthy
TPT1	1.4052757	40.399506	0.0	0.0	Periphery_vs_Healthy
RPS23	1.7350944	40.09521	0.0	0.0	Periphery_vs_Healthy
TUBA1B	2.907233	40.049614	0.0	0.0	Periphery_vs_Healthy
RPL6	2.5829465	40.04382	0.0	0.0	Periphery_vs_Healthy
RPL18A	2.1350515	39.774166	0.0	0.0	Periphery_vs_Healthy
NR4A2	3.3031168	39.61507	0.0	0.0	Periphery_vs_Healthy
CDKN1A	3.4356647	39.406956	0.0	0.0	Periphery_vs_Healthy
ABCA1	3.7177837	39.29519	0.0	0.0	Periphery_vs_Healthy
