class	rank	gene	mean_attention
Core	83	GAPT	0.003009004518389702
Core	84	PGD	0.0029928942676633596
Core	85	VNN2	0.002991765970364213
Core	86	HIST1H2BK	0.002977763069793582
Core	87	TBC1D1	0.0029358842875808477
Core	88	RXRA	0.002871308010071516
Core	89	STX11	0.0028550319839268923
Core	90	FADS2	0.0028542010113596916
Core	91	KRT1	0.0028437559958547354
Core	92	ANXA3	0.002816382795572281
Core	93	FKBP1A	0.002804660005494952
Core	94	METRNL	0.0027800090610980988
Core	95	SMIM3	0.002753417706117034
Core	96	IFIT1	0.002745742676779628
Core	97	MT2A	0.002730744890868664
Core	98	ADGRE5	0.0027149193920195103
Core	99	MSL3	0.0026840209029614925
Core	100	ARHGAP30	0.0026742310728877783
Periphery	1	GFAP	0.016262374818325043
Periphery	2	CLU	0.015050969086587429
Periphery	3	CD163	0.014322755858302116
Periphery	4	MTRNR2L12	0.013416524045169353
Periphery	5	CLEC2B	0.01026598084717989
Periphery	6	SERPINA3	0.010097648948431015
Periphery	7	PTPRZ1	0.009906403720378876
Periphery	8	FCGBP	0.008905546739697456
Periphery	9	FCGR3B	0.008678389713168144
Periphery	10	AL034397.3	0.008323963731527328
Periphery	11	HSPA1B	0.008279412984848022
Periphery	12	GNLY	0.007758956868201494
Periphery	13	IFI6	0.0077148666605353355
Periphery	14	IL1RN	0.00752370385453105
Periphery	15	SAMD4B	0.006665161345154047
Periphery	16	FOLR3	0.006514315027743578
Periphery	17	AC011446.2	0.006208683364093304
Periphery	18	LSP1	0.0061890240758657455
Periphery	19	AC004817.3	0.0061276876367628574
Periphery	20	HSPA1A	0.006086578126996756
Periphery	21	IGFBP5	0.006037162151187658
Periphery	22	PSMB9	0.005952187813818455
Periphery	23	CHI3L1	0.005698063876479864
Periphery	24	TIMP1	0.0056786988861858845
Periphery	25	MMP19	0.005576451309025288
Periphery	26	SERPINA1	0.005576356314122677
Periphery	27	SHC4	0.005408461671322584
Periphery	28	EMP1	0.0053032804280519485
Periphery	29	TRIM58	0.0052837198600173
Periphery	30	ZFAND2A	0.00526392599567771
Periphery	31	TNFSF13B	0.005205214023590088
Periphery	32	CST3	0.005094558000564575
Periphery	33	CCL2	0.005067646503448486
Periphery	34	PAFAH1B3	0.004973469767719507
Periphery	35	AC005392.2	0.0049501140601933
Periphery	36	BPGM	0.004666458815336227
Periphery	37	PCBP1-AS1	0.004558462183922529
Periphery	38	ANXA1	0.004556956700980663
Periphery	39	BCL2A1	0.004449410829693079
Periphery	40	KCNJ2	0.004281364846974611
Periphery	41	FOSL2	0.004218248184770346
Periphery	42	TAP1	0.004145536571741104
Periphery	43	NBPF26	0.004106355831027031
Periphery	44	MT-CO2	0.004081243649125099
Periphery	45	PSME1	0.0040587312541902065
Periphery	46	ICAM1	0.004044466186314821
Periphery	47	AC008875.3	0.003982458263635635
Periphery	48	ADNP	0.0038845145609229803
Periphery	49	HIST3H2BB	0.003817710094153881
Periphery	50	FGL1	0.0037964945659041405
Periphery	51	IFIT3	0.0037180420476943254
Periphery	52	SLC35F5	0.0036439215764403343
Periphery	53	GCLM	0.003559946082532406
Periphery	54	UBXN2B	0.0035449566785246134
Periphery	55	GBP1	0.0035118816886097193
Periphery	56	HEMGN	0.003501409897580743
Periphery	57	SMAP2	0.003483416046947241
Periphery	58	AC025423.4	0.0034616568591445684
Periphery	59	ZYX	0.003450288437306881
Periphery	60	ATG16L2	0.0034013146068900824
Periphery	61	NCF4	0.0033582127653062344
Periphery	62	ANKRD22	0.003344703698530793
Periphery	63	NEFL	0.0033381858374923468
Periphery	64	PRKCB	0.003331633284687996
